running,avg_speed,avg_size,avg_energy,avg_age,avg_vision,trees,entities,avg_apples
True,5.0,6.0,99.89999999999998,0.016666666666666684,75.0,50,50,0.0
True,5.0,6.0,99.8000000000001,0.03333333333333337,75.0,50,50,0.0
True,5.0,6.0,99.6999999999999,0.04999999999999998,75.0,50,50,0.0
True,5.0,6.0,99.60000000000002,0.06666666666666674,75.0,50,50,0.0
True,5.0,6.0,99.50000000000001,0.08333333333333337,75.0,50,50,0.0
True,5.0,6.0,99.4,0.09999999999999996,75.0,50,50,0.0
True,5.0,6.0,99.30000000000011,0.11666666666666656,75.0,50,50,0.0
True,5.0,6.0,99.1999999999999,0.13333333333333347,75.0,50,50,0.0
True,5.0,6.0,99.10000000000005,0.15000000000000013,75.0,50,50,0.0
True,5.0,6.0,99.00000000000001,0.16666666666666674,75.0,50,50,0.0
True,5.0,6.0,98.9,0.18333333333333343,75.0,50,50,0.0
True,5.0,6.0,98.80000000000014,0.19999999999999993,75.0,50,50,0.0
True,5.0,6.0,98.7000000000001,0.21666666666666676,75.0,50,50,0.0
True,5.0,6.0,98.60000000000008,0.23333333333333311,75.0,50,50,0.0
True,5.0,6.0,98.50000000000004,0.24999999999999997,75.0,50,50,0.0
True,5.0,6.0,98.40000000000003,0.26666666666666694,75.0,50,50,0.0
True,5.0,6.0,98.30000000000014,0.28333333333333327,75.0,50,50,0.0
True,5.0,6.0,98.2000000000001,0.30000000000000027,75.0,50,50,0.0
True,5.0,6.0,98.10000000000008,0.3166666666666665,75.0,50,50,0.0
True,5.0,6.0,98.00000000000004,0.3333333333333335,75.0,50,50,0.0
True,5.0,6.0,97.90000000000018,0.3499999999999999,75.0,50,50,0.0
True,5.0,6.0,97.80000000000017,0.36666666666666686,75.0,50,50,0.0
True,5.0,6.0,97.70000000000013,0.383333333333333,75.0,50,50,0.0
True,5.0,6.0,97.60000000000028,0.39999999999999986,75.0,50,50,0.0
True,5.0,6.0,97.50000000000007,0.4166666666666668,75.0,50,50,0.0
True,5.0,6.0,97.40000000000016,0.4333333333333335,75.0,50,50,0.0
True,5.0,6.0,97.30000000000017,0.44999999999999957,75.0,50,50,0.0
True,5.0,6.0,97.20000000000019,0.46666666666666623,75.0,50,50,0.0
True,5.0,6.0,97.10000000000028,0.48333333333333334,75.0,50,50,0.0
True,5.0,6.0,97.00000000000009,0.49999999999999994,75.0,50,50,0.0
True,5.0,6.0,96.90000000000018,0.516666666666666,75.0,50,50,0.0
True,5.0,6.0,96.80000000000018,0.5333333333333339,75.0,50,50,0.0
True,5.0,6.0,96.70000000000019,0.5500000000000004,75.0,50,50,0.0
True,5.0,6.0,96.60000000000028,0.5666666666666665,75.0,50,50,0.0
True,5.0,6.0,96.50000000000009,0.583333333333333,75.0,50,50,0.0
True,5.0,6.0,96.40000000000018,0.6000000000000006,75.0,50,50,0.0
True,5.0,6.0,96.3000000000002,0.616666666666667,75.0,50,50,0.0
True,5.0,6.0,96.2000000000002,0.6333333333333331,75.0,50,50,0.0
True,5.0,6.0,96.10000000000029,0.6499999999999995,75.0,50,50,0.0
True,5.0,6.0,96.00000000000011,0.6666666666666674,75.0,50,50,0.0
True,5.0,6.0,95.90000000000023,0.6833333333333339,75.0,50,50,0.0
True,5.0,6.0,95.8000000000002,0.7000000000000003,75.0,50,50,0.0
True,5.0,6.0,95.7000000000002,0.7166666666666679,75.0,50,50,0.0
True,5.0,6.0,95.60000000000032,0.7333333333333342,75.0,50,50,0.0
True,5.0,6.0,95.50000000000028,0.7500000000000003,75.0,50,50,0.0
True,5.0,6.0,95.40000000000026,0.7666666666666664,75.0,50,50,0.0
True,5.0,6.0,95.30000000000022,0.7833333333333341,75.0,50,50,0.0
